SSID, BSS, RSSI, Channel, Time
"Courtyards Office", "1C:3A:60:66:A1:F8", "-69", "6", "12:53:47 AM"
"Courtyards Office", "1C:3A:60:66:A1:F8", "-80", "6", "12:53:50 AM"
"Courtyards Office", "1C:3A:60:66:A1:F8", "-71", "6", "12:53:53 AM"
"Courtyards Office", "1C:3A:60:66:A1:F8", "-67", "6", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:A1:F8", "-79", "6", "12:54:00 AM"
"Courtyards Office", "1C:3A:60:66:A5:C8", "-82", "1", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:A5:C8", "-89", "1", "12:54:00 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A1:F8", "-68", "6", "12:53:47 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A1:F8", "-68", "6", "12:53:50 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A1:F8", "-75", "6", "12:53:53 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A1:F8", "-65", "6", "12:53:57 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A1:F8", "-75", "6", "12:54:00 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:8C", "-58", "44", "12:53:47 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:8C", "-55", "44", "12:53:50 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:8C", "-63", "44", "12:53:53 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:8C", "-62", "44", "12:53:57 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:8C", "-57", "44", "12:54:00 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A5:C8", "-80", "1", "12:53:57 AM"
"Courtyards (802.1x)", "1C:3A:60:26:A5:C8", "-85", "1", "12:54:00 AM"
"Recover.Me-26AFA0", "1C:3A:60:66:AF:A7", "-62", "153", "12:53:50 AM"
"Recover.Me-26AFA0", "1C:3A:60:66:AF:A7", "-62", "153", "12:53:53 AM"
"Recover.Me-26AFA0", "1C:3A:60:66:AF:A7", "-62", "153", "12:53:57 AM"
"Recover.Me-26AFA0", "1C:3A:60:66:AF:A7", "-59", "153", "12:54:00 AM"
"Courtyards-Wireless", "1C:3A:60:A6:B2:28", "-75", "11", "12:53:53 AM"
"Courtyards-Wireless", "1C:3A:60:A6:B2:28", "-70", "11", "12:53:57 AM"
"Courtyards-Wireless", "1C:3A:60:A6:B2:28", "-79", "11", "12:54:00 AM"
"Courtyards-Wireless", "1C:3A:60:A6:9F:B8", "-69", "6", "12:53:47 AM"
"Courtyards-Wireless", "1C:3A:60:A6:9F:B8", "-69", "6", "12:53:50 AM"
"Courtyards-Wireless", "1C:3A:60:A6:9F:B8", "-63", "6", "12:53:53 AM"
"Courtyards-Wireless", "1C:3A:60:A6:9F:B8", "-64", "6", "12:53:57 AM"
"Courtyards-Wireless", "1C:3A:60:A6:9F:B8", "-62", "6", "12:54:00 AM"
"Courtyards Office", "1C:3A:60:66:B1:C8", "-88", "1", "12:53:47 AM"
"Courtyards Office", "1C:3A:60:66:B1:C8", "-88", "1", "12:53:50 AM"
"Courtyards Office", "1C:3A:60:66:B1:C8", "-88", "1", "12:53:53 AM"
"Courtyards Office", "1C:3A:60:66:B1:C8", "-78", "1", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:B1:C8", "-81", "1", "12:54:00 AM"
"Courtyards Office", "1C:3A:60:66:AF:A8", "-59", "1", "12:53:47 AM"
"Courtyards Office", "1C:3A:60:66:AF:A8", "-60", "1", "12:53:50 AM"
"Courtyards Office", "1C:3A:60:66:AF:A8", "-63", "1", "12:53:53 AM"
"Courtyards Office", "1C:3A:60:66:AF:A8", "-64", "1", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:AF:A8", "-57", "1", "12:54:00 AM"
"Courtyards (802.1x)", "1C:3A:60:26:B1:C8", "-85", "1", "12:53:47 AM"
"Courtyards (802.1x)", "1C:3A:60:26:B1:C8", "-85", "1", "12:53:50 AM"
"Courtyards (802.1x)", "1C:3A:60:26:B1:C8", "-84", "1", "12:53:53 AM"
"Courtyards (802.1x)", "1C:3A:60:26:B1:C8", "-81", "1", "12:53:57 AM"
"Courtyards (802.1x)", "1C:3A:60:26:B1:C8", "-80", "1", "12:54:00 AM"
"Courtyards (802.1x)", "1C:3A:60:26:AF:A8", "-61", "1", "12:53:47 AM"
"Courtyards (802.1x)", "1C:3A:60:26:AF:A8", "-54", "1", "12:53:50 AM"
"Courtyards (802.1x)", "1C:3A:60:26:AF:A8", "-59", "1", "12:53:53 AM"
"Courtyards (802.1x)", "1C:3A:60:26:AF:A8", "-63", "1", "12:53:57 AM"
"Courtyards (802.1x)", "1C:3A:60:26:AF:A8", "-52", "1", "12:54:00 AM"
"Courtyards-Wireless", "1C:3A:60:A6:A6:A8", "-74", "11", "12:54:00 AM"
"jujube speaker.o", "FA:8F:CA:51:94:FE", "-81", "6", "12:53:47 AM"
"jujube speaker.o", "FA:8F:CA:51:94:FE", "-76", "6", "12:53:50 AM"
"jujube speaker.o", "FA:8F:CA:51:94:FE", "-89", "6", "12:53:53 AM"
"jujube speaker.o", "FA:8F:CA:51:94:FE", "-89", "6", "12:53:57 AM"
"jujube speaker.o", "FA:8F:CA:51:94:FE", "-80", "6", "12:54:00 AM"
"Courtyards Office", "1C:3A:60:66:9B:EC", "-79", "112", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:9B:EC", "-79", "112", "12:54:00 AM"
"Courtyards Office", "1C:3A:60:66:9F:BC", "-72", "149", "12:53:47 AM"
"Courtyards Office", "1C:3A:60:66:9F:BC", "-72", "149", "12:53:50 AM"
"Courtyards Office", "1C:3A:60:66:9F:BC", "-74", "149", "12:53:53 AM"
"Courtyards Office", "1C:3A:60:66:9F:BC", "-74", "149", "12:53:57 AM"
"Courtyards Office", "1C:3A:60:66:9F:BC", "-74", "149", "12:54:00 AM"
"Courtyards (802.1x)", "1C:3A:60:26:9B:EC", "-80", "112", "12:53:57 AM"
