loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
53:36.0,0,0,0,0,0,0,0,0,0,11373.72545,-0.026107788,-0.028396606,-0.992843628,11373.7003,-0.005617104,-0.057010181,-0.048879784,-0.00361624,0.002975712,-0.005583465,XArbitraryZVertical,0.005202805,-0.008895348,0.138365607,0.99032757,-0.019058395,-0.007843342,-0.999787629,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.1,0,0,0,0,0,0,0,0,0,11373.76064,-0.008895874,-0.052612305,-1.003082275,11373.73049,0.012487876,-0.023611436,0.006507891,-0.005644271,-0.020270254,0.00691396,XArbitraryZVertical,0.005437852,-0.009573077,0.138115412,0.990354904,-0.02046359,-0.008126427,-0.999757588,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.1,0,0,0,0,0,0,0,0,0,11373.79582,-0.010284424,-0.006225586,-0.991592407,11373.79082,0.022540554,-0.035122786,0.06610164,0.018399522,0.002878589,0.002132118,XArbitraryZVertical,0.005572705,-0.011117601,0.139685909,0.990117707,-0.023572326,-0.007929323,-0.999690711,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.1,0,0,0,0,0,0,0,0,0,11373.83104,-0.005935669,-0.005828857,-0.994018555,11373.82097,-0.026948724,-0.024822291,0.060416766,0.02399962,-0.000205325,0.003773212,XArbitraryZVertical,0.005992804,-0.011393153,0.140668838,0.989973052,-0.024243832,-0.008660106,-0.999668539,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.2,0,0,0,0,0,0,0,0,0,11373.86623,-0.013275146,-0.021911621,-0.997131348,11373.85115,-0.044389721,-0.012786383,0.066704817,0.006417966,-0.004075952,0.004970908,XArbitraryZVertical,0.006106039,-0.011502592,0.14149459,0.989853393,-0.024499701,-0.008833057,-0.99966079,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.3,0,0,0,0,0,0,0,0,0,11373.90145,-0.024368286,-0.016601563,-0.983657837,11373.88133,-0.046011075,-0.020883128,0.071231157,0.012677353,-0.005198075,0.004021049,XArbitraryZVertical,0.005461965,-0.011577085,0.142480011,0.989714942,-0.024472469,-0.007512571,-0.999672294,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.3,0,0,0,0,0,0,0,0,0,11373.93663,-0.035385132,-0.001068115,-0.985107422,11373.91149,-0.050966952,-0.009519031,0.069803573,0.000275565,-0.008035226,0.016501784,XArbitraryZVertical,0.004737099,-0.01158742,0.143544489,0.989564709,-0.024292972,-0.006048712,-0.999686599,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.3,0,0,0,0,0,0,0,0,0,11373.97182,-0.037536621,0.016052246,-0.987182617,11373.94167,-0.050561145,0.032831557,0.060574539,-0.011704033,0.003627519,0.014601171,XArbitraryZVertical,0.00403496,-0.011377707,0.144531951,0.9894265,-0.023681171,-0.004695709,-0.999708533,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.3,0,0,0,0,0,0,0,0,0,11374.00704,-0.037628174,0.019332886,-1.006561279,11374.002,-0.038524475,0.064868115,0.000798323,-0.021091644,0.026075996,0.001955688,XArbitraryZVertical,0.002234645,-0.010026619,0.145225894,0.989345173,-0.020488631,-0.001509421,-0.99978894,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.4,0,0,0,0,0,0,0,0,0,11374.04222,-0.039276123,0.004318237,-1.010467529,11374.03218,-0.045338161,0.031427234,-0.010709012,-0.019221867,0.008930627,-0.01068598,XArbitraryZVertical,0.00158249,-0.00956351,0.145137794,0.989364031,-0.019382944,-0.000355263,-0.999812067,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
