loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-03-13 00:53:36.016 -0500,0,0,0,0,0,0,0,0,0,11373.72545041667,-0.0261077880859375,-0.0283966064453125,-0.9928436279296875,11373.70030441667,0.2777114938050105,-0.01906013489802004,0.00784342166524242,-0.005617103539407253,-0.05701018124818802,-0.04887978360056877,-0.003616239875555038,0.002975711598992348,-0.005583465099334717,XArbitraryZVertical,0.005202804574433439,-0.008895347728425068,0.1383656068895357,0.9903275696485299,-0.01905839517712593,-0.007843341678380966,-0.9997876286506653,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.051 -0500,0,0,0,0,0,0,0,0,0,11373.76063741667,-0.0088958740234375,-0.0526123046875,-1.003082275390625,11373.73048541667,0.2772167288525493,-0.02046569465237742,0.008126516853539366,0.01248787622898817,-0.02361143566668034,0.00650789076462388,-0.005644271150231361,-0.02027025446295738,0.006913959980010986,XArbitraryZVertical,0.005437851820298621,-0.009573077250957756,0.1381154124442141,0.9903549038561081,-0.02046358957886696,-0.008126427419483662,-0.9997575879096985,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.087 -0500,0,0,0,0,0,0,0,0,0,11373.79582441667,-0.010284423828125,-0.0062255859375,-0.9915924072265625,11373.79081941667,0.280403691346528,-0.02357524963014685,0.007929406746952599,0.02254055440425873,-0.03512278571724892,0.06610164046287537,0.01839952170848846,0.002878588624298573,0.002132117748260498,XArbitraryZVertical,0.005572705191264288,-0.01111760139689944,0.1396859091683073,0.9901177069335952,-0.02357232570648193,-0.007929323241114616,-0.9996907114982605,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.131 -0500,0,0,0,0,0,0,0,0,0,11373.83104141667,-0.0059356689453125,-0.005828857421875,-0.9940185546875,11373.82097041667,0.2824024333529377,-0.02424711614467143,0.008660214488451791,-0.0269487239420414,-0.02482229098677635,0.06041676551103592,0.02399962022900581,-0.0002053249627351761,0.003773212432861328,XArbitraryZVertical,0.005992804289334792,-0.01139315330841407,0.140668837953377,0.9899730524589671,-0.02424383163452148,-0.008660105988383293,-0.9996685385704041,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.158 -0500,0,0,0,0,0,0,0,0,0,11373.86622841667,-0.013275146484375,-0.02191162109375,-0.99713134765625,11373.85115241667,0.2840745406581718,-0.02450310991290507,0.008833172521518641,-0.04438972100615501,-0.01278638280928135,0.06670481711626053,0.006417965516448021,-0.004075951874256134,0.004970908164978027,XArbitraryZVertical,0.00610603892652306,-0.01150259191114608,0.1414945896384318,0.9898533930070599,-0.02449970133602619,-0.008833057247102261,-0.9996607899665833,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.261 -0500,0,0,0,0,0,0,0,0,0,11373.90144541667,-0.0243682861328125,-0.0166015625,-0.9836578369140625,11373.88133441667,0.286048623465713,-0.02447560452341484,0.007512641591681144,-0.04601107537746429,-0.02088312804698944,0.07123115658760071,0.01267735287547112,-0.00519807543605566,0.004021048545837402,XArbitraryZVertical,0.005461965324261486,-0.01157708524801566,0.1424800108567736,0.9897149418787408,-0.02447246946394444,-0.007512570824474096,-0.9996722936630249,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.273 -0500,0,0,0,0,0,0,0,0,0,11373.93663241667,-0.0353851318359375,-0.001068115234375,-0.985107421875,11373.91148541667,0.2881803673148374,-0.02429580660034003,0.00604874930930395,-0.05096695199608803,-0.009519031271338463,0.06980357319116592,0.0002755653113126755,-0.008035225793719292,0.016501784324646,XArbitraryZVertical,0.004737099441305033,-0.01158741957880683,0.1435444887495816,0.9895647093367407,-0.0242929719388485,-0.006048712413758039,-0.999686598777771,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.278 -0500,0,0,0,0,0,0,0,0,0,11373.97181941667,-0.03753662109375,0.01605224609375,-0.9871826171875,11373.94166741667,0.2901567811492705,-0.02368364658489468,0.004695725892612058,-0.05056114494800568,0.03283155709505081,0.06057453900575638,-0.01170403324067593,0.003627518657594919,0.01460117101669312,XArbitraryZVertical,0.004034960196057768,-0.01137770725340408,0.1445319510148118,0.9894265002394799,-0.02368117123842239,-0.004695708863437176,-0.9997085332870483,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.342 -0500,0,0,0,0,0,0,0,0,0,11374.00703641667,-0.037628173828125,0.0193328857421875,-1.006561279296875,11374.00200041667,0.2915135149992372,-0.02049008808601177,0.001509421857217399,-0.03852447494864464,0.06486811488866806,0.0007983233081176877,-0.02109164372086525,0.02607599645853043,0.001955687999725342,XArbitraryZVertical,0.002234645114474204,-0.01002661906386056,0.1452258936995677,0.9893451725465793,-0.02048863098025322,-0.001509421272203326,-0.9997889399528503,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
2021-03-13 00:53:36.351 -0500,0,0,0,0,0,0,0,0,0,11374.04222341667,-0.039276123046875,0.0043182373046875,-1.010467529296875,11374.03218241667,0.2913217267717951,-0.01938415872011877,0.0003552632447744328,-0.04533816128969193,0.03142723441123962,-0.01070901192724705,-0.01922186650335789,0.008930627256631851,-0.01068598031997681,XArbitraryZVertical,0.001582489668692273,-0.009563509935612296,0.1451377944234481,0.9893640310119661,-0.01938294433057308,-0.0003552632406353951,-0.9998120665550232,0,0,0,-1,-1,11365.78026116667,unknown,2,2021-03-13 00:53:28.069 -0500,2021-03-13 00:47:42.026 -0500,20,2.267731,0,0,14.11,0,0,2021-03-13 00:50:58.765 -0500,637307615.7927291,0,1.039999,99.51485,1,0.92
