train3 base datetime,train3,train3 unix times,train3 velocity (m/s)
2021-04-05 21:27:46.000,2.28,1617658068.28,0
2021-04-05 21:27:46.000,3.94,1617658069.94,0.6024096386
2021-04-05 21:27:46.000,5.8,1617658071.80,0.5376344086
2021-04-05 21:27:46.000,9.16,1617658075.16,0.2976190476
2021-04-05 21:27:46.000,11.23,1617658077.23,0.4830917874
2021-04-05 21:27:46.000,14.3,1617658080.30,0.325732899
2021-04-05 21:27:46.000,16,1617658082.00,0.5882352941
2021-04-05 21:27:46.000,17.93,1617658083.93,0.518134715
2021-04-05 21:27:46.000,20.83,1617658086.83,0.3448275862
2021-04-05 21:27:46.000,22.28,1617658088.28,0.6896551724
2021-04-05 21:27:46.000,23.96,1617658089.96,0.5952380952
2021-04-05 21:27:46.000,25.65,1617658091.65,0.5917159763
2021-04-05 21:27:46.000,27.67,1617658093.67,0.495049505
2021-04-05 21:27:46.000,28.96,1617658094.96,0.7751937984
2021-04-05 21:27:46.000,30.48,1617658096.48,0.6578947368
2021-04-05 21:27:46.000,31.69,1617658097.69,0.826446281
2021-04-05 21:27:46.000,33.18,1617658099.18,0.6711409396
2021-04-05 21:27:46.000,36.07,1617658102.07,0.3460207612
2021-04-05 21:27:46.000,37.29,1617658103.29,0.8196721311
2021-04-05 21:27:46.000,40,1617658106.00,0.36900369
2021-04-05 21:27:46.000,41.23,1617658107.23,0.8130081301
2021-04-05 21:27:46.000,42.57,1617658108.57,0.7462686567
2021-04-05 21:27:46.000,44.07,1617658110.07,0.6666666667
2021-04-05 21:27:46.000,46.73,1617658112.73,0.3759398496
2021-04-05 21:27:46.000,48.13,1617658114.13,0.7142857143
2021-04-05 21:27:46.000,49.5,1617658115.50,0.7299270073
2021-04-05 21:27:46.000,51.22,1617658117.22,0.5813953488
2021-04-05 21:27:46.000,53.71,1617658119.71,0.4016064257
2021-04-05 21:27:46.000,54.9,1617658120.90,0.8403361345
2021-04-05 21:27:46.000,56.32,1617658122.32,0.7042253521
2021-04-05 21:27:46.000,58.85,1617658124.85,0.395256917
2021-04-05 21:27:46.000,60.41,1617658126.41,0.641025641
2021-04-05 21:27:46.000,61.53,1617658127.53,0.8928571429
