train5 base datetime,train5,train5 unix times,train 5 velocity (m/s)
2021-04-05 21:48:40.000,2.48,1617659322.48,0
2021-04-05 21:48:40.000,8.12,1617659328.12,0.1773049645
2021-04-05 21:48:40.000,11.69,1617659331.69,0.2801120448
2021-04-05 21:48:40.000,15.54,1617659335.54,0.2597402597
2021-04-05 21:48:40.000,18.96,1617659338.96,0.2923976608
2021-04-05 21:48:40.000,22.2,1617659342.20,0.3086419753
2021-04-05 21:48:40.000,24.1,1617659344.10,0.5263157895
2021-04-05 21:48:40.000,25.89,1617659345.89,0.5586592179
2021-04-05 21:48:40.000,27.84,1617659347.84,0.5128205128
2021-04-05 21:48:40.000,29.86,1617659349.86,0.495049505
2021-04-05 21:48:40.000,36.27,1617659356.27,0.1560062402
2021-04-05 21:48:40.000,40.72,1617659360.72,0.2247191011
2021-04-05 21:48:40.000,45.44,1617659365.44,0.2118644068
2021-04-05 21:48:40.000,48.5,1617659368.50,0.3267973856
2021-04-05 21:48:40.000,52.53,1617659372.53,0.2481389578
2021-04-05 21:48:40.000,55.4,1617659375.40,0.3484320557
2021-04-05 21:48:40.000,59.8,1617659379.80,0.2272727273
2021-04-05 21:48:40.000,60.72,1617659380.72,1.086956522
