train1 base datetime,train1 time offset (seconds),train1 unix times,train 1 velocity (m/s)
2021-04-05 21:20:00.000,2.76,1617657602.76,0
2021-04-05 21:20:00.000,4.44,1617657604.44,0.5952380952
2021-04-05 21:20:00.000,6.17,1617657606.17,0.5780346821
2021-04-05 21:20:00.000,8.06,1617657608.06,0.5291005291
2021-04-05 21:20:00.000,9.80,1617657609.80,0.5747126437
2021-04-05 21:20:00.000,11.62,1617657611.62,0.5494505495
2021-04-05 21:20:00.000,13.23,1617657613.23,0.6211180124
2021-04-05 21:20:00.000,15.19,1617657615.19,0.5102040816
2021-04-05 21:20:00.000,18.00,1617657618.00,0.3558718861
2021-04-05 21:20:00.000,20.56,1617657620.56,0.390625
2021-04-05 21:20:00.000,22.75,1617657622.75,0.4566210046
2021-04-05 21:20:00.000,24.99,1617657624.99,0.4464285714
2021-04-05 21:20:00.000,27.33,1617657627.33,0.4273504274
2021-04-05 21:20:00.000,29.65,1617657629.65,0.4310344828
2021-04-05 21:20:00.000,32.37,1617657632.37,0.3676470588
2021-04-05 21:20:00.000,36.06,1617657636.06,0.27100271
2021-04-05 21:20:00.000,37.14,1617657637.14,0.9259259259
2021-04-05 21:20:00.000,38.65,1617657638.65,0.6622516556
2021-04-05 21:20:00.000,40.65,1617657640.65,0.5
2021-04-05 21:20:00.000,42.26,1617657642.26,0.6211180124
2021-04-05 21:20:00.000,45.53,1617657645.53,0.3058103976
2021-04-05 21:20:00.000,49.45,1617657649.45,0.2551020408
2021-04-05 21:20:00.000,52.46,1617657652.46,0.3322259136
2021-04-05 21:20:00.000,54.61,1617657654.61,0.4651162791
2021-04-05 21:20:00.000,56.66,1617657656.66,0.487804878
2021-04-05 21:20:00.000,58.55,1617657658.55,0.5291005291
2021-04-05 21:20:00.000,60.91,1617657660.91,0.4237288136
2021-04-05 21:20:00.000,61.93,1617657661.93,0.9803921569
