train6 base datetime,train6,train6 unix times,train6 velocity (m/s)
2021-04-05 21:52:00.000,4.4,1617659524.40,0
2021-04-05 21:52:00.000,8.09,1617659528.09,0.27100271
2021-04-05 21:52:00.000,13.36,1617659533.36,0.1897533207
2021-04-05 21:52:00.000,19.03,1617659539.03,0.176366843
2021-04-05 21:52:00.000,25.18,1617659545.18,0.162601626
2021-04-05 21:52:00.000,30.14,1617659550.14,0.2016129032
2021-04-05 21:52:00.000,35.94,1617659555.94,0.1724137931
2021-04-05 21:52:00.000,39.18,1617659559.18,0.3086419753
2021-04-05 21:52:00.000,42.77,1617659562.77,0.278551532
2021-04-05 21:52:00.000,45.87,1617659565.87,0.3225806452
2021-04-05 21:52:00.000,49.74,1617659569.74,0.2583979328
2021-04-05 21:52:00.000,52.58,1617659572.58,0.3521126761
2021-04-05 21:52:00.000,55.07,1617659575.07,0.4016064257
2021-04-05 21:52:00.000,57.18,1617659577.18,0.4739336493
2021-04-05 21:52:00.000,60.11,1617659580.11,0.3412969283
