loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-04-05 21:27:42.595 -0400,0,0,0,0,0,0,0,0,0,15125.09728479167,-0.07476806640625,-0.183837890625,-0.9863433837890625,15125.08724479167,-1.539685596408299,-0.07212905907056388,0.1888200601710953,-0.02959086373448372,-0.002036108635365963,0.04753866046667099,0.00242634117603302,-0.0008070170879364014,7.343292236328125e-05,XArbitraryZVertical,0.04265911010356291,-0.09134540431502097,-0.6949127821369271,0.7119918772642529,-0.07078564912080765,-0.1877000629901886,-0.9796724319458008,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.630 -0400,0,0,0,0,0,0,0,0,0,15125.13250179167,-0.076080322265625,-0.189483642578125,-0.9730682373046875,15125.11739579167,-1.538296748139385,-0.07299693418190425,0.1882022187521606,0.01206253841519356,-0.02977678179740906,0.05216069146990776,-0.0082048699259758,0.003575712442398071,-5.59687614440918e-05,XArbitraryZVertical,0.04219962872268204,-0.09141191459564475,-0.694448808472381,0.7124632776233949,-0.07164429873228073,-0.1870931684970856,-0.9797261357307434,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.677 -0400,0,0,0,0,0,0,0,0,0,15125.16767625,-0.0832977294921875,-0.1944427490234375,-0.987945556640625,15125.14756525,-1.536665850257246,-0.074556556794016,0.1881080530287974,-0.01773324050009251,-0.04242077469825745,0.05168142542243004,-0.003700189292430878,-0.003062799572944641,0.006837189197540283,XArbitraryZVertical,0.04169926221771503,-0.09190103479663925,-0.6939021695094687,0.7129622938931933,-0.07317353039979935,-0.1870006620883942,-0.9796307682991028,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.700 -0400,0,0,0,0,0,0,0,0,0,15125.20286325,-0.072509765625,-0.1869049072265625,-0.9889068603515625,15125.17771625,-1.536137228737478,-0.0754097558680599,0.1870574045817976,-0.02274760603904724,-0.01012279745191336,-0.005494995974004269,-0.00927358865737915,-0.008474305272102356,-0.008182227611541748,XArbitraryZVertical,0.04105040686898405,-0.09183245986029306,-0.6937514140496777,0.7131554475408495,-0.07402408123016357,-0.1859684437513351,-0.9797633290290833,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.760 -0400,0,0,0,0,0,0,0,0,0,15125.23808025,-0.0697784423828125,-0.17681884765625,-0.9895477294921875,15125.20789825,-1.5365486143283,-0.07585122644771831,0.1872284546318659,0.03021319210529327,-0.02307256311178207,-0.02420453354716301,5.240738391876221e-05,-0.001348227262496948,-0.008460342884063721,XArbitraryZVertical,0.04093974772620747,-0.09205719614815919,-0.6939039031340988,0.7129844664469215,-0.07445420324802399,-0.1861364990472794,-0.9796988368034363,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.787 -0400,0,0,0,0,0,0,0,0,0,15125.27326725,-0.064300537109375,-0.1923065185546875,-0.9820556640625,15125.26823125,-1.536963033398187,-0.07651363686625209,0.1908614592725093,0.03990777581930161,0.003118398133665323,-0.002379147335886955,-0.0004494637250900269,0.009590029716491699,0.005366265773773193,XArbitraryZVertical,0.0419945782651178,-0.09355304529441717,-0.6939957939008558,0.7126389172058597,-0.0750509575009346,-0.1897047758102417,-0.9789685606956482,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.806 -0400,0,0,0,0,0,0,0,0,0,15125.30845425,-0.078460693359375,-0.188812255859375,-0.9612884521484375,15125.29841325,-1.536696160249323,-0.07636936816698311,0.1913862420039769,0.01716435700654984,0.03148763999342918,0.02872035093605518,0.004971154034137726,0.006778836250305176,0.007246077060699463,XArbitraryZVertical,0.04224545193352001,-0.09367673777015915,-0.6938874496954646,0.7127132094350171,-0.07490211725234985,-0.1902200132608414,-0.978879988193512,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.841 -0400,0,0,0,0,0,0,0,0,0,15125.34367125,-0.0665130615234375,-0.1911773681640625,-0.9780120849609375,15125.32859525,-1.53601370549192,-0.07557467463113697,0.1913902494551334,-0.02041254565119743,0.003096068976446986,0.006507338490337133,-4.878640174865723e-05,-0.005958303809165955,0.01822984218597412,XArbitraryZVertical,0.04255446941280169,-0.09338039474109502,-0.6936272785849117,0.7129869736288248,-0.07412412762641907,-0.1902239471673965,-0.9789384603500366,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.876 -0400,0,0,0,0,0,0,0,0,0,15125.37885825,-0.08935546875,-0.1919403076171875,-1.001022338867188,15125.35874725,-1.535950606229382,-0.0760086220408181,0.1893728705681292,-0.05373154208064079,-0.0227792039513588,0.02068795636296272,0.007866561412811279,0.0004073232412338257,-0.002845108509063721,XArbitraryZVertical,0.04168262968079407,-0.0928393273325623,-0.6936531096470682,0.7130840637001161,-0.07457792013883591,-0.1882430166006088,-0.9792868494987488,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
2021-04-05 21:27:42.911 -0400,0,0,0,0,0,0,0,0,0,15125.41407525,-0.0693206787109375,-0.19482421875,-0.9875335693359375,15125.38892825,-1.535570367611856,-0.07607772433713804,0.1891052929330043,0.02697142213582993,-0.002227651886641979,0.005354339722543955,-0.01470598578453064,-0.003960087895393372,-0.0216904878616333,XArbitraryZVertical,0.04158022383459022,-0.09276396357798816,-0.6935240979481675,0.713225177488367,-0.07464941591024399,-0.1879802197217941,-0.9793318510055542,0,0,0,-1,-1,15035.623568125,unknown,2,2021-04-05 21:26:13.123 -0400,2021-04-05 19:23:45.401 -0400,693,1.405414,0,0,510.951,0,0,2021-04-05 21:25:29.361 -0400,639365260.6549147,0,-2.32,98.194,1,0.68
